2009-11-05 16:53:33 Notice: Notice (8): Trying to get property of non-object in [/Applications/MAMP/htdocs/ponto/app/controllers/justificativas_controller.php, line 17]
2009-11-05 17:45:40 Notice: Notice (8): Undefined index:  ip in [/Applications/MAMP/htdocs/ponto/app/views/pontos/ver.ctp, line 32]
2009-11-05 17:45:41 Notice: Notice (8): Undefined index:  ippadrao in [/Applications/MAMP/htdocs/ponto/app/views/pontos/ver.ctp, line 32]
2009-11-05 17:45:41 Notice: Notice (8): Undefined index:  ip in [/Applications/MAMP/htdocs/ponto/app/views/pontos/ver.ctp, line 45]
2009-11-05 17:45:41 Notice: Notice (8): Undefined index:  ippadrao in [/Applications/MAMP/htdocs/ponto/app/views/pontos/ver.ctp, line 45]
2009-11-05 19:43:04 Notice: Notice (8): Undefined index:  id in [/Applications/MAMP/htdocs/ponto/app/views/pontos/ver.ctp, line 54]
2009-11-05 19:52:20 Notice: Notice (8): Undefined index:  ponto in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 387]
2009-11-05 20:04:15 Notice: Notice (8): Undefined variable: temp in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 435]
2009-11-05 20:04:52 Notice: Notice (8): Undefined variable: temp in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 435]
2009-11-05 20:04:53 Notice: Notice (8): Undefined variable: temp in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 435]
2009-11-05 20:04:56 Notice: Notice (8): Undefined variable: temp in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 435]
2009-11-05 23:38:10 Notice: Notice (8): Undefined variable: escape in [/Applications/MAMP/htdocs/ponto/cake/libs/router.php, line 966]
2009-11-05 23:45:36 Notice: Notice (8): Undefined index:  almoco_fim in [/Applications/MAMP/htdocs/ponto/app/views/pontos/index.ctp, line 67]
2009-11-06 00:01:58 Notice: Notice (8): Undefined index:  entrada in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 243]
2009-11-06 00:01:58 Notice: Notice (8): Undefined index:  1969-12-31 in [/Applications/MAMP/htdocs/ponto/app/controllers/pontos_controller.php, line 257]
2009-11-06 00:04:25 Notice: Notice (8): Undefined property: View::$Session in [/Applications/MAMP/htdocs/ponto/app/views/layouts/default.ctp, line 41]
2009-11-06 00:06:03 Notice: Notice (8): Undefined variable: infoLogado in [/Applications/MAMP/htdocs/ponto/app/views/layouts/default.ctp, line 41]
2009-11-06 00:06:04 Notice: Notice (8): Undefined variable: infoLogado in [/Applications/MAMP/htdocs/ponto/app/views/layouts/default.ctp, line 41]
2009-11-06 00:09:21 Notice: Notice (8): Undefined variable: infoLogado in [/Applications/MAMP/htdocs/ponto/app/views/layouts/default.ctp, line 41]
2009-11-06 00:09:21 Notice: Notice (8): Undefined variable: infoLogado in [/Applications/MAMP/htdocs/ponto/app/views/layouts/default.ctp, line 45]
2009-11-06 00:10:41 Notice: Notice (8): Undefined variable: infoLogado in [/Applications/MAMP/htdocs/ponto/app/views/layouts/default.ctp, line 41]
2009-11-06 00:10:41 Notice: Notice (8): Undefined variable: infoLogado in [/Applications/MAMP/htdocs/ponto/app/views/layouts/default.ctp, line 45]
2009-11-06 00:10:54 Notice: Notice (8): Undefined variable: infoLogado in [/Applications/MAMP/htdocs/ponto/app/views/layouts/default.ctp, line 41]
2009-11-06 00:10:54 Notice: Notice (8): Undefined variable: infoLogado in [/Applications/MAMP/htdocs/ponto/app/views/layouts/default.ctp, line 45]
2009-11-06 00:11:21 Notice: Notice (8): Undefined variable: infoLogado in [/Applications/MAMP/htdocs/ponto/app/views/layouts/default.ctp, line 41]
2009-11-06 00:11:21 Notice: Notice (8): Undefined variable: infoLogado in [/Applications/MAMP/htdocs/ponto/app/views/layouts/default.ctp, line 45]
2009-11-06 00:11:22 Notice: Notice (8): Undefined variable: infoLogado in [/Applications/MAMP/htdocs/ponto/app/views/layouts/default.ctp, line 41]
2009-11-06 00:11:22 Notice: Notice (8): Undefined variable: infoLogado in [/Applications/MAMP/htdocs/ponto/app/views/layouts/default.ctp, line 45]
2009-11-06 00:11:25 Notice: Notice (8): Undefined variable: infoLogado in [/Applications/MAMP/htdocs/ponto/app/views/layouts/default.ctp, line 41]
2009-11-06 00:11:25 Notice: Notice (8): Undefined variable: infoLogado in [/Applications/MAMP/htdocs/ponto/app/views/layouts/default.ctp, line 45]
2009-11-06 00:11:29 Notice: Notice (8): Undefined variable: infoLogado in [/Applications/MAMP/htdocs/ponto/app/views/layouts/default.ctp, line 41]
2009-11-06 00:11:29 Notice: Notice (8): Undefined variable: infoLogado in [/Applications/MAMP/htdocs/ponto/app/views/layouts/default.ctp, line 45]
